LABEL,YEAR,Working Age Population (15-64 years),0-4 years,5-9 years,10-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80-84 years,85 years and over,Total,0-4 years,5-9 years,10-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80-84 years,85 years and over,Total
Victoria,2016,66.5,"206,736","199,018","180,672","190,364","230,195","242,507","235,811","209,514","205,596","199,854","190,075","178,795","157,539","143,935","107,597","78,007","52,617","47,602","3,056,434","195,070","188,044","170,743","181,610","220,619","243,371","240,091","209,680","210,649","211,241","197,864","187,596","166,781","151,624","113,487","88,031","66,564","79,750","3,122,815"
Queensland,2011,67.1,"156,391","150,901","150,295","154,934","162,837","165,381","150,039","157,473","158,701","152,761","146,561","131,660","123,606","96,189","69,939","47,873","33,823","24,595","2,233,959","147,939","142,847","143,465","147,927","158,933","161,562","150,975","159,972","161,462","156,552","149,603","132,437","121,806","95,034","69,458","53,413","44,150","45,284","2,242,819"
Queensland,2012,66.8,"159,675","154,901","152,021","156,352","165,513","168,608","155,425","155,744","163,991","152,551","150,314","134,013","123,072","103,000","73,404","49,816","34,438","25,939","2,278,777","151,848","146,207","144,566","148,644","162,369","165,893","155,527","158,023","167,273","156,057","153,928","135,608","121,977","102,263","73,085","54,947","44,451","46,762","2,289,428"
Queensland,2013,66.5,"162,178","159,405","153,108","157,843","167,663","170,140","161,055","153,932","167,352","152,708","153,072","136,083","124,143","108,759","76,432","52,251","35,119","27,265","2,318,508","153,889","150,271","145,096","150,256","164,508","168,835","161,214","156,889","171,111","155,847","157,246","139,033","124,193","108,038","77,048","56,448","44,471","48,458","2,332,851"
Queensland,2014,66.2,"163,173","163,021","154,622","158,595","171,042","169,912","164,893","152,532","168,003","153,589","154,586","139,000","125,219","112,458","80,540","55,155","35,707","28,730","2,350,777","154,594","153,526","146,306","151,154","165,680","170,537","166,021","156,395","171,898","157,345","158,962","142,594","126,699","112,141","81,560","58,988","44,669","50,079","2,369,148"
Queensland,2015,65.9,"163,413","165,316","156,449","158,140","172,660","171,177","167,583","152,807","166,837","156,385","154,467","141,741","126,707","115,605","84,858","58,443","36,239","30,369","2,379,196","154,820","155,801","148,193","150,985","166,198","171,122","170,056","157,149","170,739","159,933","159,260","145,793","128,909","115,836","86,553","61,461","45,193","51,657","2,399,658"
Queensland,2016,65.6,"162,551","169,499","157,284","156,694","172,710","173,564","168,741","154,257","163,251","159,630","153,401","145,035","127,842","120,263","89,161","60,445","37,395","31,563","2,403,286","154,939","161,081","149,244","150,722","169,209","174,912","173,095","159,018","168,096","167,685","159,825","150,376","132,563","121,174","90,440","64,604","45,234","53,374","2,445,591"
South Australia,2011,66.3,"49,646","48,679","50,145","54,265","59,129","57,387","51,412","53,247","57,449","57,081","56,456","51,119","48,253","37,334","28,636","21,744","16,979","12,884","811,845","47,780","46,297","48,112","51,543","55,923","55,352","50,500","53,121","57,154","57,673","57,689","52,757","49,852","39,309","30,974","25,596","22,950","25,187","827,769"
South Australia,2012,65.9,"50,728","49,274","50,008","53,862","59,204","58,290","52,643","52,200","58,299","56,494","57,036","51,898","47,639","40,303","29,485","22,397","16,963","13,605","820,328","48,351","47,122","47,800","51,218","55,960","56,069","51,716","52,010","58,169","56,931","58,372","53,742","49,601","42,386","31,816","25,972","22,554","25,918","835,707"
South Australia,2013,65.6,"51,522","50,096","49,750","53,542","59,206","58,431","54,333","51,497","57,905","56,191","57,295","52,606","48,226","42,245","30,486","23,009","16,892","14,218","827,450","48,774","47,770","47,589","50,887","55,718","56,482","53,325","51,298","58,189","56,605","58,841","54,457","50,190","44,612","32,827","26,493","22,231","26,536","842,824"
South Australia,2014,65.3,"51,999","50,841","49,839","53,676","58,851","58,604","55,891","51,519","56,867","56,207","57,350","53,494","48,568","43,873","31,604","23,790","16,980","14,869","834,822","49,113","48,556","47,253","51,166","55,687","56,698","55,123","51,290","57,458","56,674","58,709","55,418","51,014","46,208","33,994","27,250","21,963","27,154","850,728"
South Australia,2015,65.0,"52,088","51,628","49,591","53,353","58,859","59,050","57,250","51,791","55,598","56,549","57,119","54,197","49,119","45,307","33,130","24,558","16,838","15,532","841,557","49,304","49,146","47,197","51,024","55,483","56,896","56,696","51,614","56,171","56,904","58,395","56,421","51,531","47,411","35,756","27,856","21,683","27,615","857,103"
South Australia,2016,64.5,"52,878","53,146","49,924","53,117","59,544","58,253","57,322","52,298","54,398","56,488","56,275","55,036","49,291","46,708","34,619","24,780","17,159","16,156","847,392","50,197","50,841","47,352","50,786","56,468","57,591","57,762","52,245","54,026","57,834","57,646","57,252","51,944","48,801","37,208","28,482","21,473","27,754","865,662"
Western Australia,2011,68.6,"79,937","75,097","75,992","79,167","91,793","96,883","84,845","85,432","87,785","83,732","79,137","69,987","62,826","45,949","33,935","23,712","16,917","11,924","1,185,050","76,478","72,559","72,998","75,240","85,545","88,461","81,396","83,311","85,735","82,412","78,733","70,326","61,634","45,311","35,144","27,955","22,407","22,714","1,168,359"
Western Australia,2012,68.5,"83,171","78,541","76,919","81,232","94,511","104,836","92,332","86,600","92,235","85,105","81,208","71,996","63,086","49,594","35,639","24,746","17,217","12,725","1,231,693","79,425","75,619","74,101","76,104","87,792","94,470","86,452","83,780","89,208","83,246","80,757","72,357","62,375","48,959","36,763","28,525","22,747","23,621","1,206,301"
Western Australia,2013,68.3,"86,272","82,183","77,663","82,844","96,320","110,496","99,893","88,755","94,684","86,167","83,138","73,787","63,953","52,989","36,849","25,982","17,507","13,555","1,273,037","82,019","78,784","75,185","76,846","89,418","99,548","92,284","85,146","90,979","84,044","82,848","73,968","63,959","52,213","38,070","29,451","22,984","24,604","1,242,350"
Western Australia,2014,68.0,"87,735","84,342","78,190","83,120","94,861","110,388","103,753","90,292","94,303","87,155","84,110","75,282","64,980","54,949","38,658","27,487","17,813","14,330","1,291,748","83,826","80,750","75,642","77,567","88,163","101,721","96,101","86,628","91,022","85,236","83,680","75,662","65,407","54,689","39,783","30,641","23,217","25,563","1,265,298"
Western Australia,2015,67.7,"88,794","86,292","79,196","82,413","93,603","109,397","106,984","91,822","93,781","88,632","84,609","76,775","66,219","57,131","40,378","28,673","18,265","15,338","1,308,302","84,668","82,541","76,223","77,861","86,547","101,591","98,995","87,975","90,660","86,231","83,898","77,068","67,260","57,141","41,529","31,640","23,575","26,554","1,281,957"
